offset,opcode,detection
1415,1415: SLOAD,Store read after unsafe call
1422,1422: SSTORE,Store write after unsafe call
1526,1526: SLOAD,Store read after unsafe call
1533,1533: SSTORE,Store write after unsafe call
2309,2309: SLOAD,Store read after unsafe call
2412,2412: SSTORE,Store write after unsafe call
2478,2478: SLOAD,Store read after unsafe call
2524,2524: SLOAD,Store read after unsafe call
2607,2607: SSTORE,Store write after unsafe call
2700,2700: SLOAD,Store read after unsafe call
2799,2799: SSTORE,Store write after unsafe call
2892,2892: SLOAD,Store read after unsafe call
3049,3049: SSTORE,Store write after unsafe call
3268,3268: SLOAD,Store read after unsafe call
3409,3409: SSTORE,Store write after unsafe call
3553,3553: SLOAD,Store read after unsafe call
3693,3693: SSTORE,Store write after unsafe call
3839,3839: SLOAD,Store read after unsafe call
3980,3980: SSTORE,Store write after unsafe call
4191,4191: SLOAD,Store read after unsafe call
4198,4198: SSTORE,Store write after unsafe call
4291,4291: SLOAD,Store read after unsafe call
4444,4444: SSTORE,Store write after unsafe call
4609,4609: SLOAD,Store read after unsafe call
4623,4623: SSTORE,Store write after unsafe call
5100,5100: SLOAD,Store read after unsafe call
5200,5200: SLOAD,Store read after unsafe call
5283,5283: SSTORE,Store write after unsafe call
5485,5485: SLOAD,Store read after unsafe call
5531,5531: SLOAD,Store read after unsafe call
5614,5614: SSTORE,Store write after unsafe call
5711,5711: SLOAD,Store read after unsafe call
5718,5718: SSTORE,Store write after unsafe call
