offset,opcode,detection
1478,1478: SLOAD,Store read after unsafe call
1485,1485: SSTORE,Store write after unsafe call
1593,1593: SLOAD,Store read after unsafe call
1600,1600: SSTORE,Store write after unsafe call
1987,1987: SLOAD,Store read after unsafe call
1994,1994: SSTORE,Store write after unsafe call
2253,2253: SLOAD,Store read after unsafe call
2356,2356: SSTORE,Store write after unsafe call
2422,2422: SLOAD,Store read after unsafe call
2468,2468: SLOAD,Store read after unsafe call
2551,2551: SSTORE,Store write after unsafe call
2769,2769: SLOAD,Store read after unsafe call
2910,2910: SSTORE,Store write after unsafe call
3056,3056: SLOAD,Store read after unsafe call
3197,3197: SSTORE,Store write after unsafe call
3343,3343: SLOAD,Store read after unsafe call
3484,3484: SSTORE,Store write after unsafe call
3748,3748: SLOAD,Store read after unsafe call
3755,3755: SSTORE,Store write after unsafe call
3849,3849: SLOAD,Store read after unsafe call
4006,4006: SSTORE,Store write after unsafe call
4152,4152: SLOAD,Store read after unsafe call
4293,4293: SSTORE,Store write after unsafe call
4386,4386: SLOAD,Store read after unsafe call
4539,4539: SSTORE,Store write after unsafe call
4839,4839: SLOAD,Store read after unsafe call
4853,4853: SSTORE,Store write after unsafe call
5054,5054: SLOAD,Store read after unsafe call
5100,5100: SLOAD,Store read after unsafe call
5183,5183: SSTORE,Store write after unsafe call
5249,5249: SLOAD,Store read after unsafe call
5295,5295: SLOAD,Store read after unsafe call
5378,5378: SSTORE,Store write after unsafe call
5476,5476: SLOAD,Store read after unsafe call
5483,5483: SSTORE,Store write after unsafe call
